Date,North (mm), East (mm),Lat,Long
01-08-2015,79.54,52.36,,
02-08-2015,80.94,49.19,,
03-08-2015,83.22,50.68,,
04-08-2015,82.19,52.18,,
05-08-2015,80.61,52.3,,
06-08-2015,82.14,51.6,,
07-08-2015,82.69,52.25,,
08-08-2015,81.12,53.92,,
09-08-2015,82.43,52.9,,
10-08-2015,81.65,52.62,,
11-08-2015,82.8,51.76,,
12-08-2015,84.54,53.02,,
13-08-2015,80.63,52.34,,
14-08-2015,80.68,56.02,,
15-08-2015,84.98,51.16,,
16-08-2015,82.89,54.01,,
17-08-2015,81.95,54.5,,
18-08-2015,85.08,50.01,,
19-08-2015,84.09,52.02,,
20-08-2015,84.38,57.25,,
21-08-2015,77.24,47.02,,
22-08-2015,85.19,51.07,,
23-08-2015,89.25,32.74,,
24-08-2015,83.23,61.32,,
25-08-2015,85.65,51.67,,
26-08-2015,80.7,48.01,,
27-08-2015,73.58,62.65,,
28-08-2015,81.87,56.17,,
29-08-2015,84.41,43.71,,
30-08-2015,85.99,47.26,,
31-08-2015,78.77,55.73,,
01-09-2015,88.13,49.44,,
02-09-2015,83.98,56.14,,
03-09-2015,85.36,54,,
04-09-2015,84.41,53.62,,
05-09-2015,83.03,54.21,,
06-09-2015,83.71,51.75,,
07-09-2015,85.37,53.25,,
08-09-2015,85.3,55.86,,
09-09-2015,85.79,52.75,,
10-09-2015,86.11,52.99,,
11-09-2015,86.2,52.44,,
12-09-2015,86.6,53.09,,
13-09-2015,83.62,53.83,,
14-09-2015,86.02,54.09,,
15-09-2015,84.33,54.15,,
16-09-2015,85.26,53.26,,
17-09-2015,87.15,58.06,,
18-09-2015,83.98,54.02,,
19-09-2015,82.43,52.97,,
20-09-2015,83.4,57.25,,
21-09-2015,85.06,49.1,,
22-09-2015,86.27,50.73,,
23-09-2015,82.83,54.71,,
24-09-2015,83.98,55.99,,
25-09-2015,83.81,52.36,,
26-09-2015,87.92,54.41,,
27-09-2015,86.15,51.81,,
28-09-2015,85.54,56.77,,
29-09-2015,86.43,53.51,,
30-09-2015,88.13,54.64,,
01-10-2015,83.87,56.83,,
02-10-2015,81.64,57.16,,
03-10-2015,86.15,53.78,,
04-10-2015,84.13,54.48,,
05-10-2015,86.83,54.98,,
06-10-2015,84.41,58.14,,
07-10-2015,85.3,54.54,,
08-10-2015,86.12,53.89,,
09-10-2015,84.85,56.9,,
10-10-2015,86.95,55.41,,
11-10-2015,87.83,57.21,,
12-10-2015,87.89,57.42,,
13-10-2015,87.18,58.27,,
14-10-2015,82.95,61.64,,
15-10-2015,86.73,52.58,,
16-10-2015,86.63,55.48,,
17-10-2015,83.34,56.35,,
18-10-2015,89.31,54.98,,
19-10-2015,87.19,54.07,,
20-10-2015,86,56.44,,
21-10-2015,87.36,57.3,,
22-10-2015,85.1,55.83,,
23-10-2015,85.62,58.62,,
24-10-2015,86.12,59.54,,
25-10-2015,85.65,60.19,,
26-10-2015,85.1,55.71,,
27-10-2015,87.06,55.92,,
28-10-2015,87.69,55.89,,
29-10-2015,85.5,59.15,,
30-10-2015,87.01,58.51,,
31-10-2015,83.9,58.37,,
01-11-2015,85.51,59.24,,
02-11-2015,83.56,58.53,,
03-11-2015,86.29,56.37,,
04-11-2015,87.86,59.19,,
05-11-2015,86.58,58.92,,
06-11-2015,85.63,59.34,,
07-11-2015,84.95,60.84,,
08-11-2015,87.87,55.15,,
09-11-2015,86.95,55.62,,
10-11-2015,85.94,59.94,,
11-11-2015,85.81,56.4,,
12-11-2015,85.91,56.59,,
13-11-2015,89.91,56.25,,
14-11-2015,88.38,57.1,,
15-11-2015,92.91,63.46,,
16-11-2015,87.12,54.77,,
17-11-2015,89.94,57.56,,
18-11-2015,89.31,54.74,,
19-11-2015,87.34,55.59,,
20-11-2015,87.82,55.34,,
21-11-2015,89.76,56.91,,
22-11-2015,85.54,61.13,,
23-11-2015,89.15,54.53,,
24-11-2015,89.08,56.55,,
25-11-2015,88.12,56.43,,
26-11-2015,89.75,57.4,,
27-11-2015,87.79,53.37,,
28-11-2015,90.5,58.08,,
29-11-2015,85.68,58.14,,
30-11-2015,89.33,56.07,,
01-12-2015,89.79,53.19,,
02-12-2015,89.36,59.96,,
03-12-2015,87.52,60.6,,
04-12-2015,89.09,59.15,,
05-12-2015,87.51,58.84,,
06-12-2015,86.62,59.75,,
07-12-2015,86.67,57.22,,
08-12-2015,85.27,55.8,,
09-12-2015,90.17,56.94,,
10-12-2015,88.27,59.82,,
11-12-2015,88.56,58.68,,
12-12-2015,88.6,56.7,,
13-12-2015,90.54,57.71,,
14-12-2015,92.4,59.59,,
15-12-2015,86.88,56.65,,
16-12-2015,88.52,56.18,,
17-12-2015,91.34,60.13,,
18-12-2015,87.26,58.78,,
