,0
456,-336.01
457,-336.39
458,-338.02
459,-336.95
460,-338.87
461,-337.78
462,-338.87
463,-337.76
464,-339.3
465,-337.19
466,-342.24
467,-339.98
468,-337.71
469,-338.83
470,-337.85
471,-337.78
472,-338.61
473,-338.94
474,-338.79
475,-337.73
476,-339.15
477,-341.21
478,-341.77
479,-338.64
480,-339.22
481,-338.69
482,-339.27
483,-339.13
484,-338.64
485,-339.65
486,-339.14
487,-340.93
488,-339.86
489,-340.17
490,-339.55
491,-339.3
492,-340.12
493,-339.84
494,-341.06
495,-341.55
496,-341.53
497,-341.39
498,-340.47
499,-341.21
500,-339.52
501,-340.47
502,-340.96
503,-340.22
504,-340.34
505,-343.03
506,-341.35
507,-340.44
508,-340.22
509,-342.81
510,-342.15
511,-342.73
512,-342.69
513,-340.62
514,-341.1
515,-342.54
516,-340.88
517,-341.25
518,-342.05
519,-339.84
520,-340.45
521,-340.29
522,-341.01
523,-340.27
524,-341.28
525,-340.81
526,-339.99
527,-341.39
528,-341.35
529,-341.4
530,-341.03
531,-342.23
532,-342.24
533,-343.17
534,-340.65
535,-341.21
536,-341.19
537,-341.75
538,-341.2
539,-341.65
540,-342.69
541,-341.81
542,-342.15
543,-343.32
544,-342.93
545,-342.29
546,-344.31
547,-343.8
548,-345.02
549,-342.63
550,-343.14
551,-343.25
552,-344.86
553,-344.18
554,-343.9
555,-344.45
556,-343.66
557,-345.46
558,-343.6
559,-344.39
560,-345.23
561,-343.1
562,-344.19
563,-344.62
564,-343.75
565,-344.24
566,-345.56
567,-343.89
568,-344.43
569,-343.89
570,-344.19
571,-346.07
572,-344.57
573,-344.35
574,-345.19
575,-345.49
576,-345.03
577,-344.95
578,-344.78
579,-344.68
580,-345.45
581,-345.71
582,-345.9
583,-343.97
584,-344.62
585,-345.95
586,-346.24
587,-344.83
588,-346.32
589,-345.95
590,-346.99
591,-344.41
592,-345.37
593,-346.43
594,-346.75
595,-346.92
596,-347.07
597,-347.24
598,-347.57
599,-346.68
600,-346.11
