-61.53,16.26,-0.13
-123.49,48.39,-0.789
-78.07,45.96,-0.645
-62.34,82.49,-1.068
-102.28,21.86,-0.898
-118.17,34.2,-0.614
-50.94,66.99,-0.801
21.06,67.88,-0.696
24.4,60.22,-0.328
-61.69,56.54,-0.936
-105.26,40,-0.381
11.93,57.4,-0.688
-90.16,51.48,-0.628
-114.29,50.87,-0.619
-120.94,39.97,-0.56
-94.89,74.69,-0.87
-118.68,34.24,-0.653
-106.4,52.2,-0.461
-118.49,32.91,-0.576
-21.95,70.49,-0.683
-75.76,20.01,-0.518
-89.12,13.7,-0.557
39.58,-69.01,-1.081
-117.68,34.38,-0.697
-117.8,33.62,-0.693
-125.54,48.93,-0.848
-66.64,45.95,-0.57
