-61.53,16.26,35.54,1.81
-123.49,48.39,46.39,1.11
-78.07,45.96,97.86,1.63
-62.34,82.49,111.93,2.20
-102.28,21.86,112.27,0.91
-118.17,34.2,106.67,3.72
-50.94,66.99,124.83,2.12
21.06,67.88,117.56,1.16
24.4,60.22,56.28,2.60
-61.69,56.54,122.06,1.89
-105.26,40,66.17,2.05
11.93,57.4,113.01,1.64
-90.16,51.48,40.44,0.17
-114.29,50.87,116.93,0.22
-120.94,39.97,131.73,1.05
-94.89,74.69,77.47,2.14
-118.68,34.24,113.8,4.19
-106.4,52.2,63.44,1.78
-118.49,32.91,118.5,4.74
-21.95,70.49,148.55,2.35
-75.76,20.01,162.99,0.59
-89.12,13.7,76.09,1.56
39.58,-69.01,128.67,0.43
-117.68,34.38,104.07,3.06
-117.8,33.62,114.25,4.30
-125.54,48.93,29.07,0.55
-66.64,45.95,115.09,1.78
