-61.53,16.26,35.62,1.81
-123.49,48.39,46.4,1.11
-78.07,45.96,97.63,1.63
-62.34,82.49,111.55,2.18
-102.28,21.86,112.22,0.91
-118.17,34.2,106.61,3.72
-50.94,66.99,124.83,2.12
21.06,67.88,116.39,1.14
24.4,60.22,56.26,2.58
-61.69,56.54,122.46,1.89
-105.26,40,67.47,2.1
11.93,57.4,113.03,1.64
-90.16,51.48,40.44,0.17
-114.29,50.87,118.83,0.22
-120.94,39.97,131.9,1.04
-94.89,74.69,77.49,2.14
-118.68,34.24,113.76,4.19
-106.4,52.2,63.45,1.78
-118.49,32.91,118.5,4.74
-21.95,70.49,148.83,2.34
-75.76,20.01,157.75,0.61
-89.12,13.7,77.25,1.55
39.58,-69.01,134.44,0.46
-117.68,34.38,104.08,3.06
-117.8,33.62,114.23,4.3
-125.54,48.93,28.43,0.54
-66.64,45.95,115.09,1.77
