-61.53,16.26,35.33,1.8
-123.49,48.39,46.79,1.1
-78.07,45.96,98.32,1.61
-62.34,82.49,111.16,2.25
-102.28,21.86,110.55,0.93
-118.17,34.2,106.75,3.74
-50.94,66.99,125.23,2.09
21.06,67.88,118.63,1.13
24.4,60.22,55.97,2.62
-61.69,56.54,121.48,1.85
-105.26,40,66.02,2.05
11.93,57.4,113.57,1.64
-90.16,51.48,38.78,0.16
-114.29,50.87,117.27,0.21
-120.94,39.97,131.52,1.04
-94.89,74.69,77.5,2.06
-118.68,34.24,113.63,4.18
-106.4,52.2,63.27,1.77
-118.49,32.91,118.46,4.74
-21.95,70.49,148.62,2.34
-75.76,20.01,161.54,0.59
-89.12,13.7,76.18,1.54
39.58,-69.01,131.7,0.45
-117.68,34.38,104.12,3.06
-117.8,33.62,114.16,4.3
-125.54,48.93,30.83,0.55
-66.64,45.95,114.5,1.79
